id,question,dog,answer,notes,time,user
480045,104,2130,4,,1460422171,1543
480051,105,2130,3,,1460422176,1543
480057,106,2130,2,,1460422184,1543
480065,107,2130,0,,1460422188,1543
480072,108,2130,0,,1460422193,1543
480077,109,2130,4,,1460422196,1543
480082,110,2130,0,,1460422201,1543
480089,101,2131,4,,1460422214,1543
480094,102,2131,4,,1460422218,1543
480100,103,2131,4,,1460422221,1543
480105,104,2131,0,,1460422227,1543
480116,105,2131,3,,1460422233,1543
480120,106,2131,0,,1460422238,1543
480130,107,2131,0,,1460422244,1543
480140,108,2131,2,,1460422251,1543
480143,109,2131,4,,1460422255,1543
480150,110,2131,0,,1460422258,1543
601587,111,6548,|6||4|||,,1465320978,4627
601588,112,6548,2||6|,,1465323263,4627
601589,113,6548,0,,1465323271,4627
601590,114,6548,"48, 22",,1465323286,4627
601591,115,6548,none,,1465323298,4627
601592,116,6548,2014,,1465323313,4627
601593,117,6548,1,,1465323323,4627
601595,118,6548,purina,,1465323332,4627
601597,119,6548,none,,1465323338,4627
601600,120,6548,0,,1465323351,4627
601604,121,6548,2,,1465323389,4627
601607,122,6548,4,,1465323396,4627
601610,123,6548,0,,1465323415,4627
601612,124,6548,0,,1465323419,4627
601615,125,6548,1,,1465323432,4627
601617,126,6548,0,,1465323439,4627
601627,127,6548,0,,1465323462,4627
601630,128,6548,0,,1465323468,4627
601635,1,6548,0,,1465323489,4627
601637,2,6548,0,,1465323494,4627
601640,3,6548,4,,1465323502,4627
601641,4,6548,0,,1465323506,4627
601643,5,6548,1,,1465323513,4627
601644,6,6548,1,,1465323519,4627
601645,7,6548,3,,1465323527,4627
601647,8,6548,1,,1465323533,4627
601649,9,6548,4,,1465323538,4627
601655,11,6548,3,,1465323568,4627
601657,12,6548,4,,1465323573,4627
601659,13,6548,1,,1465323579,4627
601660,14,6548,3,,1465323584,4627
601662,15,6548,0,,1465323589,4627
601663,16,6548,4,,1465323596,4627
601664,17,6548,0,,1465323601,4627
601665,18,6548,1,,1465323606,4627
601667,19,6548,1,,1465323610,4627
601670,20,6548,1,,1465323615,4627
601676,21,6548,1,,1465323638,4627
601678,22,6548,1,,1465323643,4627
601680,23,6548,0,,1465323649,4627
601681,24,6548,0,,1465323653,4627
601682,25,6548,0,,1465323657,4627
601683,26,6548,0,,1465323662,4627
601686,27,6548,3,,1465323669,4627
601688,28,6548,3,,1465323675,4627
601691,29,6548,0,,1465323682,4627
601693,30,6548,2,,1465323690,4627
601695,31,6548,3,,1465323704,4627
601698,32,6548,4,,1465323711,4627
601699,33,6548,3,,1465323717,4627
601701,34,6548,4,,1465323724,4627
601703,35,6548,0,,1465323733,4627
601704,36,6548,0,,1465323739,4627
601705,37,6548,0,,1465323744,4627
601706,38,6548,0,,1465323750,4627
601707,39,6548,1,,1465323756,4627
601708,40,6548,0,,1465323760,4627
601709,41,6548,4,,1465323811,4627
601710,42,6548,1,,1465323815,4627
601711,43,6548,0,,1465323823,4627
601712,44,6548,4,,1465323835,4627
601713,45,6548,0,,1465323839,4627
601714,46,6548,4,,1465323843,4627
601715,47,6548,3,,1465323849,4627
601716,48,6548,4,,1465323856,4627
601717,49,6548,0,,1465323861,4627
601718,50,6548,0,,1465323865,4627
601719,51,6548,3,,1465323891,4627
601720,52,6548,0,,1465323899,4627
601721,53,6548,1,,1465323905,4627
601722,54,6548,0,,1465323909,4627
601723,55,6548,1,,1465323915,4627
601724,56,6548,2,,1465323922,4627
601725,57,6548,0,,1465323926,4627
601726,58,6548,1,,1465323931,4627
601727,59,6548,3,,1465323936,4627
601728,60,6548,4,,1465323940,4627
601729,61,6548,0,,1465323961,4627
601730,62,6548,2,,1465323966,4627
601731,63,6548,0,,1465323972,4627
601732,64,6548,1,,1465323979,4627
601733,65,6548,1,,1465323987,4627
601734,66,6548,0,,1465323992,4627
601735,67,6548,2,,1465323999,4627
601736,68,6548,3,,1465324003,4627
601737,69,6548,1,,1465324010,4627
601738,70,6548,3,,1465324014,4627
601739,71,6548,3,,1465324036,4627
601740,72,6548,1,,1465324042,4627
601741,73,6548,3,,1465324047,4627
601742,74,6548,3,,1465324052,4627
601743,75,6548,1,,1465324055,4627
601744,76,6548,1,,1465324065,4627
601745,77,6548,3,,1465324070,4627
601746,78,6548,3,,1465324075,4627
601747,79,6548,3,,1465324081,4627
601748,80,6548,3,,1465324086,4627
601749,81,6548,1,,1465324105,4627
601750,82,6548,3,,1465324110,4627
601751,83,6548,4,,1465324116,4627
601752,84,6548,3,,1465324121,4627
601753,85,6548,3,,1465324127,4627
601754,86,6548,1,,1465324134,4627
601755,87,6548,3,,1465324140,4627
601756,88,6548,3,,1465324145,4627
601757,89,6548,1,,1465324157,4627
601758,90,6548,4,,1465324162,4627
601759,91,6548,3,,1465324195,4627
601760,92,6548,0,,1465324205,4627
601761,93,6548,3,,1465324211,4627
601762,94,6548,3,,1465324216,4627
601763,95,6548,1,,1465324222,4627
601764,96,6548,2,,1465324227,4627
601765,97,6548,4,,1465324233,4627
601766,98,6548,0,,1465324239,4627
601767,99,6548,2,,1465324244,4627
601768,100,6548,3,,1465324252,4627
601769,101,6548,2,,1465324270,4627
601770,102,6548,1,,1465324274,4627
601771,103,6548,4,,1465324278,4627
601772,104,6548,4,,1465324281,4627
601773,105,6548,3,,1465324285,4627
601774,106,6548,1,,1465324289,4627
601775,107,6548,0,,1465324292,4627
601776,108,6548,1,,1465324295,4627
601777,109,6548,2,,1465324302,4627
601778,110,6548,1,,1465324306,4627
674559,144,6548,1,,1468267903,4627
674560,145,6548,0,,1468267913,4627
674561,146,6548,1,,1468267919,4627
674562,147,6548,0,,1468267925,4627
674563,148,6548,2,,1468267939,4627
674564,149,6548,2,,1468267949,4627
674565,150,6548,0,,1468267955,4627
674566,151,6548,0,,1468267971,4627
674567,152,6548,0,,1468267978,4627
674568,153,6548,2,,1468268112,4627
674569,154,6548,2,,1468268119,4627
674570,155,6548,0,,1468268167,4627
912528,111,9616,0|21|2|0|0|0|5,1 hour walking,1474340173,7042
912529,111,9616,0|21|2|0|0|0|5,1 hour walking,1474340181,7042
912530,112,9616,1|0|0|4,,1474340194,7042
912531,113,9616,0,"in the bed, too",1474340206,7042
912532,113,9616,0,"in the bed, too",1474340208,7042
912533,114,9616,"Two ~50 year olds, one 20 year old occasionally, one 23 year old very occasionally",,1474340243,7042
912534,115,9616,"Previously, two cats (since 1990s). One other dog (Papillon, since 2008).",,1474340280,7042
912535,116,9616,2006,,1474340286,7042
912536,117,9616,0,,1474340289,7042
912537,118,9616,"Natural balance beef (to keep his weight up), Purina-One (small dog variety)",,1474340341,7042
912538,119,9616,"Worming vaccine, back-of-the-neck tick protectant",,1474340375,7042
912539,121,9616,1,,1474340664,7042
912540,122,9616,0|1|5,,1474340684,7042
912541,123,9616,2,,1474340689,7042
912542,124,9616,1,,1474340737,7042
912543,125,9616,3,,1474340747,7042
912544,126,9616,0,,1474340749,7042
912545,127,9616,2,,1474340759,7042
912724,144,9616,1,,1474396249,7042
912725,144,9616,0,,1474396253,7042
912726,145,9616,1,,1474396256,7042
912727,146,9616,0,,1474396259,7042
912728,147,9616,0,,1474396262,7042
912729,148,9616,2,,1474396270,7042
912730,149,9616,1,,1474396275,7042
912731,150,9616,0,,1474396278,7042
912732,151,9616,0,,1474396283,7042
912733,152,9616,0,,1474396287,7042
912734,153,9616,3,,1474396294,7042
912735,154,9616,3,,1474396299,7042
912736,153,9616,3,,1474396308,7042
1106035,111,9621,0|20|3|0|0|0|4,,1482269586,7042
1106038,112,9621,3|0|0|3,,1482269619,7042
1106039,113,9621,0,,1482269623,7042
1106042,114,9621,"50 ,50 ,20 ,20",,1482269642,7042
1106045,115,9621,"Tod, dog, papillon, 2006",,1482269655,7042
1106046,116,9621,2007,,1482269660,7042
1106047,117,9621,0,,1482269663,7042
1106058,118,9621,"dry food, Nature's Balance beef roll, Dentastix",,1482269716,7042
1106059,119,9621,n/a,,1482269720,7042
1106060,120,9621,6,,1482269725,7042
1106066,121,9621,1,,1482269741,7042
1106068,122,9621,0|1,,1482269750,7042
1106070,123,9621,2,,1482269758,7042
1106072,124,9621,1,,1482269761,7042
1106075,125,9621,3,,1482269770,7042
1106076,126,9621,0,,1482269773,7042
1106077,127,9621,2,,1482269778,7042
1106078,128,9621,0,,1482269781,7042
1106081,144,9621,0,,1482269792,7042
1106083,145,9621,2,,1482269796,7042
1106085,145,9621,1,,1482269801,7042
1106087,146,9621,0,,1482269803,7042
1106089,147,9621,1,,1482269810,7042
1106091,148,9621,1,,1482269815,7042
1106094,149,9621,3,,1482269819,7042
1106095,150,9621,0,,1482269823,7042
1106097,151,9621,4,,1482269829,7042
1106098,152,9621,0,,1482269833,7042
1106099,153,9621,1,,1482269840,7042
1106100,154,9621,3,,1482269845,7042
1106101,155,9621,1,,1482269853,7042
1106103,1,9616,0,,1482269864,7042
1106104,2,9616,3,,1482269867,7042
1106106,3,9616,4,,1482269870,7042
1106108,4,9616,4,,1482269874,7042
1106109,5,9616,3,,1482269877,7042
1106111,6,9616,3,,1482269880,7042
1106112,7,9616,4,,1482269884,7042
1106114,8,9616,1,,1482269888,7042
1106115,9,9616,4,,1482269891,7042
1106116,10,9616,3,,1482269894,7042
1106118,1,9621,0,,1482269903,7042
1106119,2,9621,1,,1482269906,7042
1106121,3,9621,4,,1482269908,7042
1106123,4,9621,3,,1482269913,7042
1106124,5,9621,3,,1482269915,7042
1106127,6,9621,2,,1482269919,7042
1106128,7,9621,3,,1482269923,7042
1106129,8,9621,3,,1482269926,7042
1106130,9,9621,4,,1482269928,7042
1106131,10,9621,1,,1482269931,7042
1106134,11,9616,3,,1482269944,7042
1106136,12,9616,0,,1482269947,7042
1106137,13,9616,3,,1482269949,7042
1106138,14,9616,3,,1482269952,7042
1106139,15,9616,4,,1482269954,7042
1106141,16,9616,0,,1482269958,7042
1106143,17,9616,0,,1482269961,7042
1106149,18,9616,4,,1482269985,7042
1106150,19,9616,0,,1482269989,7042
1106151,20,9616,1,,1482269994,7042
1106155,11,9621,0,,1482270006,7042
1106156,12,9621,4,,1482270008,7042
1106157,13,9621,1,,1482270010,7042
1106159,14,9621,1,,1482270014,7042
1106161,15,9621,4,,1482270017,7042
1106162,16,9621,3,,1482270021,7042
1106163,17,9621,0,,1482270025,7042
1106164,18,9621,2,,1482270028,7042
1106165,19,9621,2,,1482270032,7042
1106166,20,9621,3,,1482270036,7042
1106172,21,9616,1,,1482270109,7042
1106174,23,9616,1,,1482270117,7042
1106175,22,9616,4,,1482270117,7042
1106177,24,9616,1,,1482270121,7042
1106179,25,9616,0,,1482270125,7042
1106181,26,9616,1,,1482270133,7042
1106183,27,9616,2,,1482270139,7042
1106185,28,9616,1,,1482270142,7042
1106187,29,9616,0,,1482270145,7042
1106189,30,9616,1,,1482270149,7042
1106192,21,9621,3,,1482270159,7042
1106193,22,9621,0,,1482270162,7042
1106194,23,9621,3,,1482270164,7042
1106195,24,9621,0,,1482270167,7042
1106196,25,9621,3,,1482270171,7042
1106197,26,9621,1,,1482270174,7042
1106199,27,9621,1,,1482270177,7042
1106200,28,9621,2,,1482270180,7042
1106201,29,9621,0,,1482270183,7042
1106202,30,9621,2,,1482270185,7042
1106203,31,9616,2,,1482270207,7042
1106204,32,9616,2,,1482270235,7042
1106205,33,9616,1,,1482270239,7042
1106206,34,9616,3,,1482270242,7042
1106207,35,9616,1,,1482270246,7042
1106208,36,9616,0,,1482270250,7042
1106209,37,9616,2,,1482270255,7042
1106210,38,9616,0,,1482270258,7042
1106211,39,9616,3,,1482270262,7042
1106212,40,9616,0,,1482270265,7042
1106214,31,9621,3,,1482270279,7042
1106215,32,9621,1,,1482270281,7042
1106217,33,9621,3,,1482270285,7042
1106219,34,9621,3,,1482270288,7042
1106221,35,9621,2,,1482270291,7042
1106223,36,9621,1,,1482270294,7042
1106225,37,9621,0,,1482270298,7042
1106227,38,9621,0,,1482270306,7042
1106228,39,9621,2,,1482270308,7042
1106230,40,9621,0,,1482270311,7042
1106243,41,9616,0,,1482270390,7042
1106244,42,9616,1,,1482270392,7042
1106246,43,9616,1,,1482270395,7042
1106248,44,9616,1,,1482270400,7042
1106249,45,9616,3,,1482270402,7042
1106251,46,9616,0,,1482270405,7042
1106253,47,9616,3,,1482270408,7042
1106254,48,9616,1,,1482270410,7042
1106256,49,9616,1,,1482270414,7042
1106258,50,9616,4,,1482270418,7042
1106262,41,9621,4,,1482270433,7042
1106263,42,9621,4,,1482270435,7042
1106264,43,9621,1,,1482270438,7042
1106265,44,9621,4,,1482270440,7042
1106267,45,9621,0,,1482270442,7042
1106268,46,9621,4,,1482270444,7042
1106270,47,9621,1,,1482270447,7042
1106271,48,9621,4,,1482270449,7042
1106272,49,9621,1,,1482270452,7042
1106274,50,9621,1,,1482270455,7042
1106279,51,9616,4,,1482270468,7042
1106281,52,9616,1,,1482270471,7042
1106283,53,9616,1,,1482270474,7042
1106285,54,9616,4,,1482270476,7042
1106286,55,9616,1,,1482270481,7042
1106287,56,9616,3,,1482270484,7042
1106288,57,9616,3,,1482270486,7042
1106289,58,9616,3,,1482270490,7042
1106290,59,9616,4,,1482270492,7042
1106291,60,9616,3,,1482270495,7042
1106292,51,9621,4,,1482270506,7042
1106293,52,9621,1,,1482270510,7042
1106294,53,9621,3,,1482270512,7042
1106295,54,9621,4,,1482270514,7042
1106296,55,9621,3,,1482270520,7042
1106297,56,9621,1,,1482270522,7042
1106298,57,9621,2,,1482270525,7042
1106299,58,9621,1,,1482270528,7042
1106300,59,9621,4,,1482270530,7042
1106301,60,9621,0,,1482270532,7042
1106302,61,9616,0,,1482270548,7042
1106303,62,9616,1,,1482270552,7042
1106304,63,9616,0,,1482270554,7042
1106305,64,9616,4,,1482270557,7042
1106306,65,9616,0,,1482270562,7042
1106307,66,9616,4,,1482270565,7042
1106308,67,9616,0,,1482270568,7042
1106309,68,9616,0,,1482270571,7042
1106310,69,9616,0,,1482270574,7042
1106311,70,9616,2,,1482270576,7042
1106312,61,9621,0,,1482270588,7042
1106313,62,9621,3,,1482270591,7042
1106314,63,9621,4,,1482270593,7042
1106315,64,9621,2,,1482270597,7042
1106316,65,9621,4,,1482270599,7042
1106317,66,9621,1,,1482270602,7042
1106318,67,9621,0,,1482270605,7042
1106319,68,9621,0,,1482270607,7042
1106320,69,9621,0,,1482270610,7042
1106321,70,9621,4,,1482270613,7042
1106322,71,9616,1,,1482270627,7042
1106323,72,9616,3,,1482270630,7042
1106324,73,9616,3,,1482270632,7042
1106325,74,9616,0,,1482270634,7042
1106326,75,9616,3,,1482270637,7042
1106327,76,9616,4,,1482270641,7042
1106328,77,9616,1,,1482270645,7042
1106329,78,9616,4,,1482270648,7042
1106330,78,9616,4,"He fears them, although he also acts like one.",1482270672,7042
1106331,79,9616,4,,1482270678,7042
1106332,80,9616,1,,1482270684,7042
1106333,71,9621,4,,1482270696,7042
1106334,72,9621,3,,1482270699,7042
1106335,73,9621,3,,1482270701,7042
1106336,74,9621,3,,1482270704,7042
1106337,75,9621,1,,1482270707,7042
1106338,76,9621,1,,1482270709,7042
1106339,77,9621,3,,1482270712,7042
1106340,78,9621,4,,1482270714,7042
1106341,78,9621,4,"She is deathly afraid of our most dominant cat, but loves laying next to his brother.",1482270748,7042
1106342,79,9621,4,,1482270751,7042
1106343,80,9621,3,,1482270753,7042
1106344,81,9616,1,,1482270767,7042
1106345,82,9616,3,,1482270769,7042
1106346,83,9616,4,,1482270772,7042
1106347,84,9616,3,,1482270774,7042
1106348,85,9616,4,,1482270777,7042
1106349,86,9616,1,,1482270780,7042
1106350,87,9616,4,,1482270782,7042
1106351,87,9616,2,,1482270785,7042
1106352,88,9616,3,,1482270789,7042
1106353,89,9616,3,,1482270792,7042
1106354,90,9616,4,,1482270794,7042
1106355,81,9621,1,,1482270805,7042
1106356,82,9621,4,,1482270807,7042
1106357,83,9621,0,,1482270810,7042
1106358,84,9621,3,,1482270813,7042
1106359,85,9621,4,,1482270815,7042
1106360,86,9621,1,,1482270818,7042
1106361,87,9621,4,,1482270820,7042
1106362,88,9621,4,,1482270822,7042
1106363,89,9621,2,,1482270825,7042
1106364,90,9621,4,,1482270827,7042
1106365,91,9616,4,,1482270840,7042
1106366,92,9616,2,,1482270871,7042
1106367,93,9616,4,,1482270874,7042
1106368,94,9616,4,,1482270877,7042
1106369,94,9616,3,,1482270879,7042
1106370,95,9616,2,,1482270882,7042
1106371,96,9616,4,,1482270884,7042
1106372,97,9616,1,,1482270887,7042
1106373,98,9616,4,,1482270890,7042
1106374,99,9616,2,,1482270895,7042
1106375,100,9616,1,,1482270906,7042
1106376,91,9621,4,,1482270917,7042
1106377,92,9621,0,,1482270920,7042
1106378,93,9621,2,,1482270924,7042
1106379,94,9621,1,,1482270926,7042
